age_cat,stab,variable,value
70,IA,male,69447
70,ID,male,41412
70,IL,male,264588
70,IN,male,142437
70,KS,male,63303
70,KY,male,102141
70,LA,male,99947
70,MA,male,150073
70,MD,male,124289
70,ME,male,40483
70,MI,male,237292
70,MN,male,118514
70,MO,male,138354
70,MS,male,64809
70,MT,male,29942
70,NC,male,232383
70,ND,male,15716
70,NE,male,41265
70,NH,male,33852
70,NJ,male,192529
70,NM,male,47595
70,NV,male,69319
70,NY,male,416023
70,OH,male,271044
70,OK,male,83246
70,OR,male,106998
70,PA,male,312006
70,RI,male,24884
70,SC,male,129226
70,SD,male,19899
70,TN,male,161448
70,TX,male,509900
70,UT,male,48180
70,VA,male,182925
70,VT,male,14955
70,WA,male,164204
70,WI,male,138200
70,WV,male,51865
70,WY,male,14832
75,AK,male,9214
75,AL,male,81149
75,AR,male,50344
75,AZ,male,129976
75,CA,male,508341
75,CO,male,72660
75,CT,male,56790
75,DC,male,6977
75,DE,male,18328
75,FL,male,428821
75,GA,male,138104
75,HI,male,26058
75,IA,male,51701
75,ID,male,26382
75,IL,male,183306
75,IN,male,100890
75,KS,male,41028
75,KY,male,72536
75,LA,male,65597
75,MA,male,101414
75,MD,male,88129
75,ME,male,25996
75,MI,male,166536
75,MN,male,79608
75,MO,male,98299
75,MS,male,47263
75,MT,male,19169
75,NC,male,163743
75,ND,male,10825
75,NE,male,27934
75,NH,male,24597
75,NJ,male,130228
75,NM,male,39083
75,NV,male,52551
75,NY,male,291618
75,OH,male,181072
75,OK,male,62366
75,OR,male,70666
75,PA,male,210083
75,RI,male,16026
75,SC,male,87315
75,SD,male,13826
75,TN,male,106955
75,TX,male,335618
75,UT,male,32100
75,VA,male,123150
75,VT,male,11197
75,WA,male,113257
75,WI,male,87614
75,WV,male,35912
75,WY,male,9295
80,AK,male,4112
80,AL,male,53349
80,AR,male,32698
80,AZ,male,88129
80,CA,male,360587
80,CO,male,45918
80,CT,male,39956
80,DC,male,4105
80,DE,male,11071
80,FL,male,315549
80,GA,male,85988
80,HI,male,14747
80,IA,male,37299
80,ID,male,19054
80,IL,male,124713
80,IN,male,66921
80,KS,male,28205
80,KY,male,49024
80,LA,male,48431
80,MA,male,71581
80,MD,male,53749
80,ME,male,19229
80,MI,male,111943
80,MN,male,58548
80,MO,male,69185
80,MS,male,34546
80,MT,male,13223
80,NC,male,101674
80,ND,male,8105
80,NE,male,21959
80,NH,male,14453
80,NJ,male,90323
80,NM,male,24597
80,NV,male,33000
80,NY,male,201448
80,OH,male,129243
80,OK,male,41477
80,OR,male,49226
80,PA,male,150355
80,RI,male,10355
80,SC,male,56514
80,SD,male,10377
80,TN,male,69886
80,TX,male,224688
80,UT,male,25214
80,VA,male,84044
80,VT,male,6338
80,WA,male,73206
80,WI,male,65474
80,WV,male,24921
80,WY,male,5551
80+,AK,male,4076
80+,AL,male,55725
80+,AR,male,38043
80+,AZ,male,96868
80+,CA,male,461242
80+,CO,male,56325
80+,CT,male,48759
80+,DC,male,5659
80+,DE,male,14466
80+,FL,male,364328
80+,GA,male,85016
80+,HI,male,23431
80+,IA,male,45854
80+,ID,male,19688
80+,IL,male,152080
80+,IN,male,75948
80+,KS,male,40739
80+,KY,male,47473
80+,LA,male,47989
80+,MA,male,89150
80+,MD,male,65649
80+,ME,male,19530
80+,MI,male,123438
80+,MN,male,73544
80+,MO,male,78107
80+,MS,male,27583
80+,MT,male,14944
80+,NC,male,108270
80+,ND,male,10237
80+,NE,male,24079
80+,NH,male,18708
80+,NJ,male,115648
80+,NM,male,25792
80+,NV,male,28351
80+,NY,male,252217
80+,OH,male,156265
80+,OK,male,47092
80+,OR,male,51587
80+,PA,male,196385
80+,RI,male,14877
